"Hour","Year","Location","Temperature","Humidity","WindSpeed","Week","Percentage_Occupied","Months"
0,2019,"Art gallery",12,49,18,"Weekday",0,"Dec"
0,2019,"West End",12,49,18,"Weekday",65,"Dec"
0,2019,"Lichfield",12,49,18,"Weekday",0,"Dec"
1,2019,"Art gallery",10,68,14,"Weekday",0,"Dec"
1,2019,"West End",10,68,14,"Weekday",65,"Dec"
1,2019,"The Crossing",10,68,14,"Weekday",7,"Dec"
1,2019,"Hereford St",10,68,14,"Weekday",37,"Dec"
2,2019,"West End",9,71,13,"Weekday",64,"Dec"
2,2019,"Lichfield",9,71,13,"Weekday",0,"Dec"
2,2019,"Hereford St",9,71,13,"Weekday",37,"Dec"
2,2019,"The Crossing",9,71,13,"Weekday",7,"Dec"
3,2019,"Hereford St",8,73,12,"Weekday",36,"Dec"
3,2019,"West End",8,73,12,"Weekday",65,"Dec"
3,2019,"Art gallery",8,73,12,"Weekday",0,"Dec"
4,2019,"Hereford St",9,71,11,"Weekday",37,"Dec"
4,2019,"Art gallery",9,71,11,"Weekday",0,"Dec"
4,2019,"The Crossing",9,71,11,"Weekday",7,"Dec"
4,2019,"West End",9,71,11,"Weekday",65,"Dec"
4,2019,"Lichfield",9,71,11,"Weekday",0,"Dec"
5,2019,"Lichfield",8,71,10,"Weekday",0,"Dec"
5,2019,"The Crossing",8,71,10,"Weekday",7,"Dec"
6,2019,"Art gallery",8,73,8,"Weekday",0,"Dec"
6,2019,"Hereford St",8,73,8,"Weekday",37,"Dec"
6,2019,"The Crossing",8,73,8,"Weekday",7,"Dec"
7,2019,"Hereford St",12,61,5,"Weekday",38,"Dec"
7,2019,"West End",12,61,5,"Weekday",66,"Dec"
7,2019,"Art gallery",12,61,5,"Weekday",0,"Dec"
7,2019,"The Crossing",12,61,5,"Weekday",7,"Dec"
8,2019,"Hereford St",16,53,6,"Weekday",41,"Dec"
8,2019,"Art gallery",16,53,6,"Weekday",0,"Dec"
8,2019,"West End",16,53,6,"Weekday",67,"Dec"
9,2019,"Art gallery",19,49,9,"Weekday",2,"Dec"
9,2019,"Lichfield",19,49,9,"Weekday",12,"Dec"
9,2019,"Hereford St",19,49,9,"Weekday",47,"Dec"
9,2019,"West End",19,49,9,"Weekday",68,"Dec"
10,2019,"The Crossing",20,49,11,"Weekday",36,"Dec"
10,2019,"Lichfield",20,49,11,"Weekday",20,"Dec"
10,2019,"West End",20,49,11,"Weekday",70,"Dec"
11,2019,"West End",20,49,13,"Weekday",73,"Dec"
11,2019,"The Crossing",20,49,13,"Weekday",58,"Dec"
11,2019,"Hereford St",20,49,13,"Weekday",55,"Dec"
11,2019,"Art gallery",20,49,13,"Weekday",16,"Dec"
12,2019,"West End",21,49,13,"Weekday",75,"Dec"
12,2019,"The Crossing",21,49,13,"Weekday",77,"Dec"
12,2019,"Lichfield",21,49,13,"Weekday",43,"Dec"
12,2019,"Art gallery",21,49,13,"Weekday",22,"Dec"
13,2019,"The Crossing",22,48,14,"Weekday",79,"Dec"
13,2019,"Art gallery",22,48,14,"Weekday",24,"Dec"
13,2019,"West End",22,48,14,"Weekday",77,"Dec"
13,2019,"Lichfield",22,48,14,"Weekday",46,"Dec"
13,2019,"Hereford St",22,48,14,"Weekday",58,"Dec"
14,2019,"The Crossing",22,48,14,"Weekday",76,"Dec"
14,2019,"Lichfield",22,48,14,"Weekday",44,"Dec"
14,2019,"West End",22,48,14,"Weekday",74,"Dec"
15,2019,"Art gallery",22,48,14,"Weekday",12,"Dec"
15,2019,"West End",22,48,14,"Weekday",72,"Dec"
15,2019,"The Crossing",22,48,14,"Weekday",55,"Dec"
15,2019,"Hereford St",22,48,14,"Weekday",56,"Dec"
16,2019,"Hereford St",22,48,14,"Weekday",52,"Dec"
16,2019,"West End",22,48,14,"Weekday",69,"Dec"
16,2019,"Art gallery",22,48,14,"Weekday",2,"Dec"
16,2019,"The Crossing",22,48,14,"Weekday",39,"Dec"
16,2019,"Lichfield",22,48,14,"Weekday",23,"Dec"
17,2019,"Hereford St",21,50,14,"Weekday",46,"Dec"
17,2019,"The Crossing",21,50,14,"Weekday",23,"Dec"
17,2019,"West End",21,50,14,"Weekday",66,"Dec"
18,2019,"Hereford St",20,52,15,"Weekday",41,"Dec"
18,2019,"Art gallery",20,52,15,"Weekday",0,"Dec"
19,2019,"Lichfield",18,58,14,"Weekday",9,"Dec"
19,2019,"Art gallery",18,58,14,"Weekday",0,"Dec"
19,2019,"Hereford St",18,58,14,"Weekday",39,"Dec"
19,2019,"West End",18,58,14,"Weekday",65,"Dec"
19,2019,"The Crossing",18,58,14,"Weekday",17,"Dec"
20,2019,"West End",16,66,12,"Weekday",66,"Dec"
20,2019,"Art gallery",16,66,12,"Weekday",0,"Dec"
20,2019,"The Crossing",16,66,12,"Weekday",15,"Dec"
21,2019,"Hereford St",14,73,10,"Weekday",38,"Dec"
21,2019,"The Crossing",14,73,10,"Weekday",12,"Dec"
21,2019,"Lichfield",14,73,10,"Weekday",5,"Dec"
21,2019,"West End",14,73,10,"Weekday",66,"Dec"
22,2019,"The Crossing",13,79,6,"Weekday",9,"Dec"
22,2019,"Hereford St",13,79,6,"Weekday",38,"Dec"
23,2019,"The Crossing",13,82,3,"Weekday",7,"Dec"
23,2019,"Art gallery",13,82,3,"Weekday",0,"Dec"
23,2019,"West End",13,82,3,"Weekday",65,"Dec"
0,2019,"Art gallery",13,84,3,"Weekday",0,"Dec"
0,2019,"The Crossing",13,84,3,"Weekday",7,"Dec"
0,2019,"West End",13,84,3,"Weekday",65,"Dec"
1,2019,"Art gallery",13,95,3,"Weekday",0,"Dec"
1,2019,"Lichfield",13,95,3,"Weekday",0,"Dec"
1,2019,"West End",13,95,3,"Weekday",65,"Dec"
1,2019,"The Crossing",13,95,3,"Weekday",7,"Dec"
1,2019,"Hereford St",13,95,3,"Weekday",36,"Dec"
2,2019,"Art gallery",13,95,3,"Weekday",1,"Dec"
2,2019,"West End",13,95,3,"Weekday",65,"Dec"
2,2019,"Lichfield",13,95,3,"Weekday",0,"Dec"
2,2019,"Hereford St",13,95,3,"Weekday",37,"Dec"
2,2019,"The Crossing",13,95,3,"Weekday",7,"Dec"
3,2019,"Art gallery",12,95,2,"Weekday",1,"Dec"
3,2019,"The Crossing",12,95,2,"Weekday",6,"Dec"
3,2019,"Lichfield",12,95,2,"Weekday",0,"Dec"
4,2019,"Hereford St",12,96,3,"Weekday",37,"Dec"
4,2019,"West End",12,96,3,"Weekday",65,"Dec"
4,2019,"Lichfield",12,96,3,"Weekday",0,"Dec"
5,2019,"Art gallery",12,96,3,"Weekday",1,"Dec"
5,2019,"Lichfield",12,96,3,"Weekday",0,"Dec"
5,2019,"Hereford St",12,96,3,"Weekday",37,"Dec"
5,2019,"West End",12,96,3,"Weekday",65,"Dec"
6,2019,"Art gallery",12,95,3,"Weekday",1,"Dec"
6,2019,"West End",12,95,3,"Weekday",65,"Dec"
6,2019,"Hereford St",12,95,3,"Weekday",38,"Dec"
6,2019,"The Crossing",12,95,3,"Weekday",7,"Dec"
7,2019,"Hereford St",13,87,4,"Weekday",39,"Dec"
7,2019,"West End",13,87,4,"Weekday",66,"Dec"
7,2019,"Art gallery",13,87,4,"Weekday",1,"Dec"
7,2019,"The Crossing",13,87,4,"Weekday",7,"Dec"
8,2019,"Hereford St",15,78,6,"Weekday",43,"Dec"
8,2019,"Lichfield",15,78,6,"Weekday",8,"Dec"
8,2019,"Art gallery",15,78,6,"Weekday",1,"Dec"
8,2019,"West End",15,78,6,"Weekday",67,"Dec"
9,2019,"The Crossing",16,70,9,"Weekday",15,"Dec"
9,2019,"Art gallery",16,70,9,"Weekday",6,"Dec"
9,2019,"Lichfield",16,70,9,"Weekday",13,"Dec"
9,2019,"Hereford St",16,70,9,"Weekday",48,"Dec"
9,2019,"West End",16,70,9,"Weekday",68,"Dec"
10,2019,"The Crossing",18,60,13,"Weekday",31,"Dec"
10,2019,"Lichfield",18,60,13,"Weekday",19,"Dec"
10,2019,"Art gallery",18,60,13,"Weekday",17,"Dec"
10,2019,"West End",18,60,13,"Weekday",68,"Dec"
10,2019,"Hereford St",18,60,13,"Weekday",52,"Dec"
11,2019,"West End",20,54,17,"Weekday",69,"Dec"
11,2019,"Lichfield",20,54,17,"Weekday",28,"Dec"
11,2019,"The Crossing",20,54,17,"Weekday",47,"Dec"
11,2019,"Hereford St",20,54,17,"Weekday",57,"Dec"
11,2019,"Art gallery",20,54,17,"Weekday",21,"Dec"
12,2019,"West End",22,49,21,"Weekday",72,"Dec"
12,2019,"The Crossing",22,49,21,"Weekday",62,"Dec"
12,2019,"Hereford St",22,49,21,"Weekday",59,"Dec"
12,2019,"Lichfield",22,49,21,"Weekday",38,"Dec"
12,2019,"Art gallery",22,49,21,"Weekday",23,"Dec"
13,2019,"West End",23,46,23,"Weekday",75,"Dec"
14,2019,"Art gallery",24,44,25,"Weekday",20,"Dec"
14,2019,"The Crossing",24,44,25,"Weekday",61,"Dec"
14,2019,"Lichfield",24,44,25,"Weekday",36,"Dec"
14,2019,"West End",24,44,25,"Weekday",73,"Dec"
14,2019,"Hereford St",24,44,25,"Weekday",56,"Dec"
15,2019,"West End",25,42,26,"Weekday",71,"Dec"
15,2019,"The Crossing",25,42,26,"Weekday",44,"Dec"
15,2019,"Hereford St",25,42,26,"Weekday",53,"Dec"
16,2019,"West End",25,42,29,"Weekday",68,"Dec"
16,2019,"Art gallery",25,42,29,"Weekday",14,"Dec"
16,2019,"The Crossing",25,42,29,"Weekday",32,"Dec"
16,2019,"Lichfield",25,42,29,"Weekday",18,"Dec"
17,2019,"Hereford St",25,43,29,"Weekday",48,"Dec"
17,2019,"The Crossing",25,43,29,"Weekday",22,"Dec"
17,2019,"West End",25,43,29,"Weekday",67,"Dec"
17,2019,"Lichfield",25,43,29,"Weekday",14,"Dec"
18,2019,"Hereford St",24,46,28,"Weekday",44,"Dec"
18,2019,"Art gallery",24,46,28,"Weekday",3,"Dec"
18,2019,"The Crossing",24,46,28,"Weekday",16,"Dec"
18,2019,"Lichfield",24,46,28,"Weekday",13,"Dec"
18,2019,"West End",24,46,28,"Weekday",66,"Dec"
19,2019,"Lichfield",22,50,28,"Weekday",14,"Dec"
19,2019,"Hereford St",22,50,28,"Weekday",43,"Dec"
19,2019,"West End",22,50,28,"Weekday",66,"Dec"
19,2019,"The Crossing",22,50,28,"Weekday",18,"Dec"
20,2019,"Lichfield",21,56,27,"Weekday",12,"Dec"
20,2019,"Hereford St",21,56,27,"Weekday",41,"Dec"
20,2019,"West End",21,56,27,"Weekday",68,"Dec"
21,2019,"The Crossing",18,66,25,"Weekday",12,"Dec"
21,2019,"Lichfield",18,66,25,"Weekday",10,"Dec"
21,2019,"Art gallery",18,66,25,"Weekday",21,"Dec"
21,2019,"West End",18,66,25,"Weekday",68,"Dec"
22,2019,"Art gallery",16,78,23,"Weekday",26,"Dec"
22,2019,"Lichfield",16,78,23,"Weekday",7,"Dec"
22,2019,"West End",16,78,23,"Weekday",68,"Dec"
23,2019,"The Crossing",14,89,20,"Weekday",8,"Dec"
23,2019,"Lichfield",14,89,20,"Weekday",6,"Dec"
23,2019,"Art gallery",14,89,20,"Weekday",27,"Dec"
23,2019,"Hereford St",14,89,20,"Weekday",39,"Dec"
23,2019,"West End",14,89,20,"Weekday",68,"Dec"
0,2020,"Art gallery",13,95,18,"Weekday",6,"Jan"
0,2020,"The Crossing",13,95,18,"Weekday",8,"Jan"
0,2020,"West End",13,95,18,"Weekday",67,"Jan"
0,2020,"Lichfield",13,95,18,"Weekday",1,"Jan"
0,2020,"Hereford St",13,95,18,"Weekday",39,"Jan"
1,2020,"Lichfield",13,95,15,"Weekday",0,"Jan"
1,2020,"West End",13,95,15,"Weekday",66,"Jan"
1,2020,"The Crossing",13,95,15,"Weekday",7,"Jan"
1,2020,"Hereford St",13,95,15,"Weekday",39,"Jan"
2,2020,"Art gallery",12,95,14,"Weekday",0,"Jan"
2,2020,"West End",12,95,14,"Weekday",65,"Jan"
2,2020,"Lichfield",12,95,14,"Weekday",0,"Jan"
2,2020,"Hereford St",12,95,14,"Weekday",39,"Jan"
3,2020,"Art gallery",11,95,13,"Weekday",1,"Jan"
3,2020,"The Crossing",11,95,13,"Weekday",7,"Jan"
3,2020,"Lichfield",11,95,13,"Weekday",0,"Jan"
4,2020,"Hereford St",10,94,13,"Weekday",38,"Jan"
4,2020,"Art gallery",10,94,13,"Weekday",1,"Jan"
4,2020,"The Crossing",10,94,13,"Weekday",7,"Jan"
4,2020,"West End",10,94,13,"Weekday",65,"Jan"
4,2020,"Lichfield",10,94,13,"Weekday",0,"Jan"
5,2020,"Art gallery",10,93,13,"Weekday",1,"Jan"
5,2020,"Lichfield",10,93,13,"Weekday",0,"Jan"
5,2020,"Hereford St",10,93,13,"Weekday",37,"Jan"
5,2020,"West End",10,93,13,"Weekday",65,"Jan"
5,2020,"The Crossing",10,93,13,"Weekday",6,"Jan"
6,2020,"Lichfield",9,92,12,"Weekday",0,"Jan"
6,2020,"Art gallery",9,92,12,"Weekday",1,"Jan"
6,2020,"Hereford St",9,92,12,"Weekday",38,"Jan"
6,2020,"The Crossing",9,92,12,"Weekday",7,"Jan"
7,2020,"Lichfield",12,81,11,"Weekday",0,"Jan"
7,2020,"Hereford St",12,81,11,"Weekday",38,"Jan"
7,2020,"Art gallery",12,81,11,"Weekday",1,"Jan"
7,2020,"The Crossing",12,81,11,"Weekday",8,"Jan"
8,2020,"The Crossing",18,57,10,"Weekday",7,"Jan"
8,2020,"Hereford St",18,57,10,"Weekday",38,"Jan"
8,2020,"Lichfield",18,57,10,"Weekday",0,"Jan"
8,2020,"Art gallery",18,57,10,"Weekday",1,"Jan"
8,2020,"West End",18,57,10,"Weekday",65,"Jan"
9,2020,"The Crossing",23,38,10,"Weekday",8,"Jan"
9,2020,"Art gallery",23,38,10,"Weekday",2,"Jan"
9,2020,"Lichfield",23,38,10,"Weekday",2,"Jan"
9,2020,"West End",23,38,10,"Weekday",65,"Jan"
10,2020,"The Crossing",28,26,11,"Weekday",11,"Jan"
10,2020,"Lichfield",28,26,11,"Weekday",3,"Jan"
10,2020,"Art gallery",28,26,11,"Weekday",6,"Jan"
10,2020,"West End",28,26,11,"Weekday",65,"Jan"
10,2020,"Hereford St",28,26,11,"Weekday",40,"Jan"
11,2020,"Lichfield",31,20,12,"Weekday",7,"Jan"
11,2020,"Art gallery",31,20,12,"Weekday",7,"Jan"
12,2020,"West End",34,16,10,"Weekday",66,"Jan"
12,2020,"The Crossing",34,16,10,"Weekday",25,"Jan"
12,2020,"Lichfield",34,16,10,"Weekday",11,"Jan"
12,2020,"Art gallery",34,16,10,"Weekday",6,"Jan"
13,2020,"The Crossing",35,13,10,"Weekday",30,"Jan"
13,2020,"Art gallery",35,13,10,"Weekday",8,"Jan"
13,2020,"West End",35,13,10,"Weekday",67,"Jan"
13,2020,"Lichfield",35,13,10,"Weekday",13,"Jan"
13,2020,"Hereford St",35,13,10,"Weekday",42,"Jan"
14,2020,"Art gallery",36,12,9,"Weekday",6,"Jan"
14,2020,"The Crossing",36,12,9,"Weekday",31,"Jan"
14,2020,"Lichfield",36,12,9,"Weekday",12,"Jan"
14,2020,"West End",36,12,9,"Weekday",67,"Jan"
14,2020,"Hereford St",36,12,9,"Weekday",44,"Jan"
15,2020,"Art gallery",35,13,9,"Weekday",3,"Jan"
15,2020,"West End",35,13,9,"Weekday",67,"Jan"
15,2020,"Lichfield",35,13,9,"Weekday",9,"Jan"
15,2020,"Hereford St",35,13,9,"Weekday",44,"Jan"
16,2020,"Art gallery",34,15,7,"Weekday",2,"Jan"
16,2020,"The Crossing",34,15,7,"Weekday",23,"Jan"
16,2020,"Lichfield",34,15,7,"Weekday",8,"Jan"
17,2020,"Hereford St",34,17,7,"Weekday",40,"Jan"
17,2020,"The Crossing",34,17,7,"Weekday",17,"Jan"
17,2020,"Art gallery",34,17,7,"Weekday",1,"Jan"
17,2020,"Lichfield",34,17,7,"Weekday",7,"Jan"
18,2020,"Hereford St",32,21,9,"Weekday",40,"Jan"
18,2020,"Art gallery",32,21,9,"Weekday",1,"Jan"
18,2020,"The Crossing",32,21,9,"Weekday",15,"Jan"
18,2020,"Lichfield",32,21,9,"Weekday",6,"Jan"
18,2020,"West End",32,21,9,"Weekday",66,"Jan"
19,2020,"Lichfield",29,27,11,"Weekday",5,"Jan"
19,2020,"Art gallery",29,27,11,"Weekday",1,"Jan"
19,2020,"Hereford St",29,27,11,"Weekday",39,"Jan"
19,2020,"West End",29,27,11,"Weekday",66,"Jan"
19,2020,"The Crossing",29,27,11,"Weekday",14,"Jan"
20,2020,"Lichfield",24,39,12,"Weekday",5,"Jan"
20,2020,"Hereford St",24,39,12,"Weekday",39,"Jan"
20,2020,"West End",24,39,12,"Weekday",66,"Jan"
20,2020,"Art gallery",24,39,12,"Weekday",1,"Jan"
20,2020,"The Crossing",24,39,12,"Weekday",13,"Jan"
21,2020,"Hereford St",21,52,13,"Weekday",39,"Jan"
21,2020,"Lichfield",21,52,13,"Weekday",2,"Jan"
21,2020,"Art gallery",21,52,13,"Weekday",1,"Jan"
21,2020,"West End",21,52,13,"Weekday",66,"Jan"
22,2020,"The Crossing",18,64,14,"Weekday",8,"Jan"
22,2020,"Hereford St",18,64,14,"Weekday",39,"Jan"
22,2020,"Art gallery",18,64,14,"Weekday",1,"Jan"
22,2020,"Lichfield",18,64,14,"Weekday",1,"Jan"
22,2020,"West End",18,64,14,"Weekday",65,"Jan"
23,2020,"Lichfield",16,74,15,"Weekday",0,"Jan"
23,2020,"Art gallery",16,74,15,"Weekday",1,"Jan"
23,2020,"Hereford St",16,74,15,"Weekday",38,"Jan"
23,2020,"West End",16,74,15,"Weekday",66,"Jan"
0,2020,"Art gallery",15,80,14,"Weekday",1,"Jan"
0,2020,"The Crossing",15,80,14,"Weekday",6,"Jan"
0,2020,"West End",15,80,14,"Weekday",66,"Jan"
0,2020,"Lichfield",15,80,14,"Weekday",0,"Jan"
0,2020,"Hereford St",15,80,14,"Weekday",37,"Jan"
1,2020,"Art gallery",17,76,6,"Weekday",1,"Jan"
1,2020,"Lichfield",17,76,6,"Weekday",0,"Jan"
1,2020,"West End",17,76,6,"Weekday",66,"Jan"
1,2020,"The Crossing",17,76,6,"Weekday",6,"Jan"
2,2020,"Art gallery",16,80,6,"Weekday",1,"Jan"
2,2020,"West End",16,80,6,"Weekday",66,"Jan"
2,2020,"Lichfield",16,80,6,"Weekday",0,"Jan"
3,2020,"Hereford St",15,86,5,"Weekday",38,"Jan"
3,2020,"West End",15,86,5,"Weekday",66,"Jan"
3,2020,"Art gallery",15,86,5,"Weekday",1,"Jan"
3,2020,"The Crossing",15,86,5,"Weekday",7,"Jan"
3,2020,"Lichfield",15,86,5,"Weekday",0,"Jan"
4,2020,"Hereford St",15,87,5,"Weekday",38,"Jan"
4,2020,"The Crossing",15,87,5,"Weekday",6,"Jan"
4,2020,"Lichfield",15,87,5,"Weekday",0,"Jan"
5,2020,"Art gallery",14,95,5,"Weekday",1,"Jan"
5,2020,"Lichfield",14,95,5,"Weekday",1,"Jan"
5,2020,"Hereford St",14,95,5,"Weekday",38,"Jan"
5,2020,"West End",14,95,5,"Weekday",65,"Jan"
5,2020,"The Crossing",14,95,5,"Weekday",6,"Jan"
6,2020,"Lichfield",13,93,5,"Weekday",0,"Jan"
6,2020,"Art gallery",13,93,5,"Weekday",1,"Jan"
6,2020,"West End",13,93,5,"Weekday",65,"Jan"
6,2020,"The Crossing",13,93,5,"Weekday",6,"Jan"
7,2020,"Lichfield",15,83,4,"Weekday",0,"Jan"
7,2020,"Hereford St",15,83,4,"Weekday",38,"Jan"
7,2020,"Art gallery",15,83,4,"Weekday",1,"Jan"
8,2020,"Lichfield",18,67,5,"Weekday",1,"Jan"
8,2020,"Art gallery",18,67,5,"Weekday",2,"Jan"
8,2020,"West End",18,67,5,"Weekday",66,"Jan"
9,2020,"The Crossing",21,56,7,"Weekday",10,"Jan"
9,2020,"Lichfield",21,56,7,"Weekday",2,"Jan"
9,2020,"Hereford St",21,56,7,"Weekday",41,"Jan"
10,2020,"Art gallery",23,48,9,"Weekday",3,"Jan"
10,2020,"West End",23,48,9,"Weekday",68,"Jan"
10,2020,"Hereford St",23,48,9,"Weekday",45,"Jan"
11,2020,"West End",25,43,10,"Weekday",68,"Jan"
11,2020,"Lichfield",25,43,10,"Weekday",15,"Jan"
11,2020,"The Crossing",25,43,10,"Weekday",38,"Jan"
11,2020,"Hereford St",25,43,10,"Weekday",48,"Jan"
11,2020,"Art gallery",25,43,10,"Weekday",8,"Jan"
12,2020,"West End",26,41,11,"Weekday",73,"Jan"
12,2020,"Hereford St",26,41,11,"Weekday",54,"Jan"
12,2020,"Lichfield",26,41,11,"Weekday",30,"Jan"
12,2020,"Art gallery",26,41,11,"Weekday",21,"Jan"
13,2020,"The Crossing",26,41,13,"Weekday",68,"Jan"
13,2020,"Art gallery",26,41,13,"Weekday",39,"Jan"
13,2020,"West End",26,41,13,"Weekday",76,"Jan"
13,2020,"Lichfield",26,41,13,"Weekday",36,"Jan"
13,2020,"Hereford St",26,41,13,"Weekday",59,"Jan"
14,2020,"Art gallery",26,41,14,"Weekday",41,"Jan"
14,2020,"The Crossing",26,41,14,"Weekday",68,"Jan"
14,2020,"Lichfield",26,41,14,"Weekday",34,"Jan"
14,2020,"Hereford St",26,41,14,"Weekday",61,"Jan"
15,2020,"Art gallery",25,42,14,"Weekday",28,"Jan"
15,2020,"West End",25,42,14,"Weekday",76,"Jan"
15,2020,"Lichfield",25,42,14,"Weekday",25,"Jan"
15,2020,"Hereford St",25,42,14,"Weekday",60,"Jan"
16,2020,"Hereford St",24,44,15,"Weekday",54,"Jan"
16,2020,"Art gallery",24,44,15,"Weekday",14,"Jan"
16,2020,"Lichfield",24,44,15,"Weekday",16,"Jan"
17,2020,"Hereford St",23,47,16,"Weekday",45,"Jan"
17,2020,"The Crossing",23,47,16,"Weekday",25,"Jan"
17,2020,"Art gallery",23,47,16,"Weekday",7,"Jan"
17,2020,"West End",23,47,16,"Weekday",70,"Jan"
18,2020,"Art gallery",21,52,17,"Weekday",4,"Jan"
18,2020,"The Crossing",21,52,17,"Weekday",19,"Jan"
18,2020,"Lichfield",21,52,17,"Weekday",8,"Jan"
18,2020,"West End",21,52,17,"Weekday",68,"Jan"
19,2020,"Lichfield",19,57,16,"Weekday",9,"Jan"
19,2020,"Art gallery",19,57,16,"Weekday",2,"Jan"
19,2020,"Hereford St",19,57,16,"Weekday",42,"Jan"
19,2020,"West End",19,57,16,"Weekday",67,"Jan"
20,2020,"Lichfield",17,63,15,"Weekday",7,"Jan"
20,2020,"Hereford St",17,63,15,"Weekday",40,"Jan"
20,2020,"West End",17,63,15,"Weekday",68,"Jan"
20,2020,"The Crossing",17,63,15,"Weekday",17,"Jan"
21,2020,"Hereford St",14,75,13,"Weekday",38,"Jan"
21,2020,"Lichfield",14,75,13,"Weekday",5,"Jan"
21,2020,"Art gallery",14,75,13,"Weekday",0,"Jan"
21,2020,"West End",14,75,13,"Weekday",67,"Jan"
22,2020,"The Crossing",13,80,11,"Weekday",10,"Jan"
22,2020,"Hereford St",13,80,11,"Weekday",38,"Jan"
22,2020,"Art gallery",13,80,11,"Weekday",0,"Jan"
22,2020,"Lichfield",13,80,11,"Weekday",4,"Jan"
22,2020,"West End",13,80,11,"Weekday",67,"Jan"
23,2020,"The Crossing",13,78,9,"Weekday",8,"Jan"
23,2020,"Lichfield",13,78,9,"Weekday",2,"Jan"
23,2020,"Hereford St",13,78,9,"Weekday",39,"Jan"
0,2020,"Art gallery",13,79,5,"Weekday",0,"Jan"
0,2020,"The Crossing",13,79,5,"Weekday",6,"Jan"
0,2020,"West End",13,79,5,"Weekday",66,"Jan"
0,2020,"Lichfield",13,79,5,"Weekday",0,"Jan"
0,2020,"Hereford St",13,79,5,"Weekday",38,"Jan"
1,2020,"Art gallery",14,83,8,"Weekday",0,"Jan"
1,2020,"Lichfield",14,83,8,"Weekday",0,"Jan"
1,2020,"The Crossing",14,83,8,"Weekday",7,"Jan"
1,2020,"Hereford St",14,83,8,"Weekday",37,"Jan"
2,2020,"Art gallery",13,83,7,"Weekday",1,"Jan"
2,2020,"West End",13,83,7,"Weekday",67,"Jan"
2,2020,"Lichfield",13,83,7,"Weekday",0,"Jan"
2,2020,"Hereford St",13,83,7,"Weekday",37,"Jan"
2,2020,"The Crossing",13,83,7,"Weekday",7,"Jan"
3,2020,"Hereford St",14,83,6,"Weekday",37,"Jan"
3,2020,"West End",14,83,6,"Weekday",67,"Jan"
3,2020,"Art gallery",14,83,6,"Weekday",1,"Jan"
3,2020,"The Crossing",14,83,6,"Weekday",7,"Jan"
4,2020,"Hereford St",14,83,5,"Weekday",37,"Jan"
4,2020,"Art gallery",14,83,5,"Weekday",1,"Jan"
4,2020,"The Crossing",14,83,5,"Weekday",7,"Jan"
4,2020,"West End",14,83,5,"Weekday",67,"Jan"
4,2020,"Lichfield",14,83,5,"Weekday",0,"Jan"
5,2020,"West End",14,83,4,"Weekday",66,"Jan"
6,2020,"West End",14,84,4,"Weekday",67,"Jan"
6,2020,"Hereford St",14,84,4,"Weekday",38,"Jan"
6,2020,"The Crossing",14,84,4,"Weekday",6,"Jan"
7,2020,"Lichfield",14,80,5,"Weekday",2,"Jan"
7,2020,"Hereford St",14,80,5,"Weekday",39,"Jan"
7,2020,"West End",14,80,5,"Weekday",66,"Jan"
7,2020,"Art gallery",14,80,5,"Weekday",1,"Jan"
7,2020,"The Crossing",14,80,5,"Weekday",7,"Jan"
8,2020,"The Crossing",15,75,6,"Weekday",10,"Jan"
8,2020,"Hereford St",15,75,6,"Weekday",43,"Jan"
8,2020,"Art gallery",15,75,6,"Weekday",0,"Jan"
9,2020,"The Crossing",16,72,8,"Weekday",18,"Jan"
9,2020,"Lichfield",16,72,8,"Weekday",12,"Jan"
9,2020,"Hereford St",16,72,8,"Weekday",47,"Jan"
9,2020,"West End",16,72,8,"Weekday",69,"Jan"
10,2020,"The Crossing",16,73,11,"Weekday",30,"Jan"
10,2020,"West End",16,73,11,"Weekday",70,"Jan"
10,2020,"Hereford St",16,73,11,"Weekday",51,"Jan"
11,2020,"West End",16,77,15,"Weekday",71,"Jan"
11,2020,"Lichfield",16,77,15,"Weekday",30,"Jan"
11,2020,"The Crossing",16,77,15,"Weekday",49,"Jan"
11,2020,"Hereford St",16,77,15,"Weekday",55,"Jan"
11,2020,"Art gallery",16,77,15,"Weekday",24,"Jan"
12,2020,"West End",15,82,20,"Weekday",74,"Jan"
12,2020,"The Crossing",15,82,20,"Weekday",68,"Jan"
12,2020,"Hereford St",15,82,20,"Weekday",58,"Jan"
12,2020,"Lichfield",15,82,20,"Weekday",39,"Jan"
12,2020,"Art gallery",15,82,20,"Weekday",24,"Jan"
13,2020,"The Crossing",14,87,23,"Weekday",76,"Jan"
13,2020,"West End",14,87,23,"Weekday",75,"Jan"
13,2020,"Lichfield",14,87,23,"Weekday",47,"Jan"
13,2020,"Hereford St",14,87,23,"Weekday",61,"Jan"
14,2020,"Art gallery",14,88,23,"Weekday",18,"Jan"
14,2020,"The Crossing",14,88,23,"Weekday",70,"Jan"
14,2020,"Lichfield",14,88,23,"Weekday",49,"Jan"
14,2020,"West End",14,88,23,"Weekday",74,"Jan"
14,2020,"Hereford St",14,88,23,"Weekday",61,"Jan"
15,2020,"Art gallery",13,82,20,"Weekday",14,"Jan"
15,2020,"Lichfield",13,82,20,"Weekday",37,"Jan"
15,2020,"The Crossing",13,82,20,"Weekday",57,"Jan"
15,2020,"Hereford St",13,82,20,"Weekday",56,"Jan"
16,2020,"Hereford St",15,72,16,"Weekday",52,"Jan"
